sample,EVENT,ETHNICITY,GENDER,AGE,WFREQ,BBTYPE,LOCATION,COUNTRY012,ZIP012,COUNTRY1319,ZIP1319,DOG,CAT,IMPSURFACE013,NPP013,MMAXTEMP013,PFC013,IMPSURFACE1319,NPP1319,MMAXTEMP1319,PFC1319
954,BellyButtonsScienceOnline,Caucasian,M,26.0,7.0,I,NewYork/NY,usa,45429,usa,45458,,,6919.0,34.00777817,34.5,,21,6074.0,34.26333237,14.5
955,BellyButtonsScienceOnline,Caucasian,F,27.0,7.0,I,NewYork/NY,,,,,,,,,,,,,,
956,BellyButtonsScienceOnline,Caucasian,M,16.0,7.0,I,Jacksonville/NC,,,,,,,,,,,,,,
958,BellyButtonsScienceOnline,Caucasian,M,43.0,5.0,I,Wilmington/NC,,,,,,,,,,,,,,
959,BellyButtonsScienceOnline,Caucasian,M,40.0,5.0,I,Carrboro/NC,usa,93605,usa,60115,no,no,7431.0,30.58333397,61.5,,1,4066.0,38.14555359,1.5
960,BellyButtonsScienceOnline,Caucasian,M,48.0,7.0,I,Lexington/NC,,,,,,,,,,,,,,
961,BellyButtonsScienceOnline,Caucasian,F,35.0,4.0,i,"Edmonton,AB",canada,K7V3Z4,canada,K7V3Z4,yes,no,6962.0,33.80555725,15.0,,'NA',5104.0,29.57666588,22.0
962,BellyButtonsScienceOnline,Caucasian,F,56.0,1.0,i,"Washington,DC",usa,60514,usa,60514,no,no,7281.0,29.95444489,37.5,,23,,37.20777893,18.0
963,BellyButtonsScienceOnline,Caucasian,F,33.0,3.5,I,Ithaca/NY,usa,45238,usa,45233,no,no,5363.0,32.65000153,48.5,,4,6420.0,33.33666611,18.5
964,BellyButtonsScienceOnline,Caucasian,F,43.0,7.0,I,UK/London,,,,,,,,,,,,,,
966,BellyButtonsScienceOnline,Caucasian,M,56.0,0.0,I,Needham/MA,usa,7924,usa,7924,no,no,4016.0,33.27444458,64.0,,6,6762.0,31.6922226,65.0
967,BellyButtonsScienceOnline,Caucasian/Jewish,F,43.0,1.0,I,ChapelHill/NC,,,,,,,,,,,,,,
968,BellyButtonsScienceOnline,Caucasian,F,38.0,6.0,I,St.Louis/MI,,,,,,,,,,,,,,
969,BellyButtonsScienceOnline,Caucasian/Asian,F,31.0,7.0,I,ChevyChase/MD,usa,7071,usa,7071,no,no,,30.48111153,33.0,,0,,35.7788887,27.0
970,BellyButtonsScienceOnline,Caucasian,F,42.0,0.0,i,SanDiego/CA,,,,,,,,,,,,,,
971,BellyButtonsScienceOnline,Asian(South),M,36.0,1.0,I,SantaBarbara/CA,usa,10533,usa,10533,no,no,,37.20777893,18.0,,70,5961.0,30.55666733,23.5
972,BellyButtonsScienceOnline,Caucasian,F,31.0,7.0,I,Charlotte/NC,usa,55987,usa,55987,yes,no,,,9.0,,0,4949.0,29.61222267,57.0
973,BellyButtonsScienceOnline,Caucasian,F,4.0,1.0,I,Charlotte/NC,usa,28269,,,yes,no,9523.0,27.6455555,63.0,,,,,
974,BellyButtonsScienceOnline,Caucasian,F,57.0,,I,Raleigh/NC,usa,14905,usa,14095,no,no,4949.0,29.61222267,57.0,,74,,31.56777763,14.0
975,BellyButtonsScienceOnline,Caucasian,F,60.0,3.0,I,NewCanaan/CT,usa,84404,usa,96035,no,no,,34.54111099,11.0,,0,6176.0,46.39222336,4.5
978,BellyButtonsDarwinDay,Hispanic,F,21.0,,,Durham/NC,,,,,,,,,,,,,,
1233,BellyButtonsMuseumStaff,Caucasian,M,34.0,0.0,I,,usa,97374,usa,97374,no,no,,,,,0,8852.0,37.17222214,54.5
1234,BellyButtonsMuseumStaff,Caucasian,F,,,I,,usa,13209,usa,28472,yes,no,5961.0,30.55666733,23.5,,0,6526.0,31.93666649,55.0
1235,BellyButtonsMuseumStaff,Caucasian,F,43.0,0.0,,,usa,12603,usa,27615,no,yes,6762.0,31.6922226,65.0,,25,,34.33444595,20.0
1236,BellyButtonsMuseumStaff,Caucasian,F,54.0,6.0,,,usa,28054,usa,28054,no,no,,34.94111252,10.0,,69,,35.19666672,11.0
1237,BellyButtonsMuseum2,Caucasian,F,9.0,2.0,i,"ChapelHill,NC",usa,27517,,,yes,no,6832.0,29.58111191,45.0,,,,,
1238,BellyButtonsMuseum2,Caucasian,F,41.0,0.0,i,"Raleigh,NC",usa,27834,usa,21210,yes,yes,,35.32777786,12.0,,36,,35.48110962,18.0
1242,BellyButtonsMuseum2,Caucasian,F,44.0,1.0,i,"Raleigh,NC",,,,,,,,,,,,,,
1243,BellyButtonsMuseum2,Caucasian,M,49.0,,i,"Raleigh,NC",,,,,,,,,,,,,,
1246,BellyButtonsMuseum2,Caucasian,F,2.0,7.0,,"Atlanta,GA",usa,30076,na,na,yes,no,7949.0,26.72999954,76.5,,,,,
1253,BellyButtonsMuseum2,Caucasian,M,24.0,5.0,i,"Voss,NC",,,,,,,,,,,,,,
1254,BellyButtonsMuseum2,Caucasian,F,1.0,5.0,o,"Voss,NC",,,,,,,,,,,,,,
1258,BellyButtonsMuseum2,Caucasian,f,31.0,7.0,i,"Smithfield,NC",,,,,,,,,,,,,,
1259,BellyButtonsMuseum2,Caucasian,m,33.0,7.0,,"Smithfield,NC",,,,,,,,,,,,,,
1260,BellyButtonsMuseum2,Caucasian,m,10.0,7.0,,"Smithfield,NC",,,,,,,,,,,,,,
1264,BellyButtonsMuseum2,Caucasian,m,46.0,0.0,i,"Raleigh,NC",usa,1066,usa,1066,yes,yes,,33.99000168,25.5,,5,6115.0,29.79444504,31.5
1265,BellyButtonsMuseum2,Caucasian,f,10.0,0.0,i,"Raleigh,NC",usa,27615,,,yes,yes,,34.54111099,31.5,,,,,
1273,BellyButtonsMuseumStaff,Caucasian,M,60.0,3.0,I,,usa,98022,usa,98022,no,no,,39.67666626,9.5,,0,6687.0,26.36111069,73.5
1275,BellyButtonsMuseumStaff,Caucasian,F,18.0,0.0,I,,,,,,,,,,,,,,,
1276,BellyButtonsMuseumStaff,Caucasian,M,34.0,0.0,O,,,,,,,,,,,,,,,
1277,BellyButtonsMuseumStaff,Caucasian,F,67.0,7.0,I,,usa,35223,usa,35223,yes,no,,31.72999954,22.5,,11,,32.80110931,34.0
1278,BellyButtonsMuseumStaff,,M,44.0,7.0,I,,,,,,,,,,,,,,,
1279,BellyButtonsMuseumStaff,Black,F,60.0,9.0,O,,,,,,,,,,,,,,,
1280,BellyButtonsMuseumStaff,PacificIslander,F,30.0,,I,,usa,85706,usa,85706,yes,no,,36.4766655,32.0,,31,,53.88777924,0.0
1281,BellyButtonsMuseumStaff,Caucasian,F,55.0,3.0,I,,usa,63348,usa,37921,yes,no,,34.54111099,11.0,,31,,34.26111221,21.5
1282,BellyButtonsMuseumStaff,Caucasian,F,53.0,,I,,,,,,,,,,,,,,,
1283,BellyButtonsMuseumStaff,Caucasian,M,48.0,7.0,I,,usa,27608,usa,27608,yes,yes,,34.33444595,20.0,,21,,34.54111099,31.5
1284,BellyButtonsMuseumStaff,Caucasian,F,30.0,7.0,I,,usa,27612,usa,27613,yes,yes,,32.80110931,34.0,,31,,31.72999954,22.5
1285,BellyButtonsMuseumStaff,Caucasian,M,42.0,,Both,,,,,,,,,,,,,,,
1286,BellyButtonsMuseumStaff,Caucasian,M,38.0,7.0,I,,usa,43420,usa,43420,yes,yes,7094.0,29.41666603,73.5,,17,,35.32777786,12.0
1287,BellyButtonsMuseumStaff,Caucasian,M,46.0,,I,,,,,,,,,,,,,,,
1288,BellyButtonsMuseumStaff,Caucasian,F,52.0,7.0,I,,,,,,,,,,,,,,,
1289,BellyButtonsMuseumStaff,Black,F,38.0,,I,,usa,46404,usa,46404,no,yes,,38.59666824,7.0,,16,,34.94111252,10.0
1290,BellyButtonsMuseumStaff,Caucasian,F,53.0,5.0,I,,,,,,,,,,,,,,,
1291,BellyButtonsMuseumStaff,Caucasian,F,49.0,0.0,I,,usa,25302,usa,25302,yes,yes,5565.0,32.50333405,24.0,,19,5026.0,30.00111198,25.5
1292,BellyButtonsMuseumStaff,Caucasian,M,46.0,,I,,,,,,,,,,,,,,,
1293,BellyButtonsMuseumStaff,Caucasian,F,68.0,1.0,I,,usa,28112,usa,28112,yes,no,6598.0,31.99222183,17.0,,0,6598.0,31.99222183,17.0
1294,BellyButtonsMuseumStaff,Caucasian,F,46.0,,I,,,,,,,,,,,,,,,
1295,BellyButtonsMuseumStaff,Caucasian,F,48.0,7.0,Both,,,,,,,,,,,,,,,
1296,BellyButtonsMuseum2,Black,f,10.0,4.0,i,"Pinehurst,NC",,,,,,,,,,,,,,
1297,BellyButtonsMuseum2,Caucasion,f,10.0,5.0,,"Pinehurst,NC",,,,,,,,,,,,,,
1298,BellyButtonsMuseum2,White,m,12.0,3.0,i,"Pinehurst,NC",,,,,,,,,,,,,,
1308,BellyButtonsMuseum2,Black,f,40.0,7.0,,"Durham,NC",,,,,,,,,,,,,,
1309,BellyButtonsMuseum2,Black,f,6.0,5.0,,"Durham,NC",,,,,,,,,,,,,,
1310,BellyButtonsMuseum2,Black,m,3.0,5.0,,"Durham,NC",,,,,,,,,,,,,,
1374,BellyButtonsMuseumStaff,Caucasian,F,55.0,7.0,o,"Cary,NC",usa,6790,usa,6790,no,no,,31.72999954,22.5,,0,9523.0,27.6455555,63.0
1415,BellyButtonsDiscovery,,,,,Unknown,,usa,48843,usa,48843,no,yes,6828.0,32.55888748,44.0,,0,4959.0,31.81444359,22.5
1439,BellyButtonsCOMCAST,Caucasian,F,,,,"Sarasota,FL",,,,,,,,,,,,,,
1441,BellyButtonsCOMCAST,Caucasian,F,36.0,4.0,I,"Raleigh,NC",usa,33321,usa,33321,yes,no,,,,,59,,34.78333282,8.5
1443,BellyButtonsCOMCAST,Caucasian,F,57.0,3.0,I,"Raleigh,NC",,,,,,,,,,,,,,
1486,BellyButtonsBBCShropshire,Caucasian,F,33.0,0.0,I,"Shrewsbury,UK",,,,,,,,,,,,,,
1487,BellyButtonsBBCShropshire,Caucasian,M,30.0,0.0,I,"Shrewsbury,UK",,,,,,,,,,,,,,
1489,BellyButtonsClimbingWorkshop,Caucasian,F,28.0,0.0,I,WashingtonDC,,,,,,,,,,,,,,
1490,BellyButtonsClimbingWorkshop,Caucasian,F,27.0,0.0,I,DurhamNC,usa,27203,usa,27203,no,yes,5665.0,31.79222298,31.5,,0,6940.0,31.68111038,51.5
1491,BellyButtonsClimbingWorkshop,Caucasian,F,24.0,3.0,I,WashingtonDC,usa,21146,usa,21146,no,no,6749.0,28.3077774,31.5,,1,,32.22333527,47.0
1494,BellyButtonsClimbingWorkshop,Caucasian,M,35.0,0.0,I,"Boone,NC",,,,,,,,,,,,,,
1495,BellyButtonsClimbingWorkshop,Caucasian,F,57.0,3.0,I,"Raleigh,NC",,,,,,,,,,,,,,
1497,BellyButtonsClimbingWorkshop,Caucasian,M,35.0,0.0,I,"Raleigh,NC",,,,,,,,,,,,,,
1499,BellyButtonsClimbingWorkshop,Caucasian,M,33.0,0.0,I,"Waynesville,NC",usa,54443,usa,54443,no,no,4826.0,29.43888855,6.5,,0,5673.0,29.7677784,30.5
1500,BellyButtonsClimbingWorkshop,Caucasian,M,32.0,0.0,I,"Raleigh,NC",CzechRepublic,27372,CzechRepublic,27372,no,no,,35.19666672,11.0,,'NA',,,
1501,BellyButtonsClimbingWorkshop,,M,38.0,0.0,I,"FallsChurch,VA",,,,,,,,,,,,,,
1502,BellyButtonsClimbingWorkshop,Caucasian,F,27.0,0.0,I,"Boone,NC",usa,28714,usa,28714,no,yes,,32.22333527,47.0,,0,7949.0,26.72999954,76.5
1503,BellyButtonsClimbingWorkshop,Caucasian,F,32.0,7.0,I,"Raleigh,NC",usa,45243,usa,45243,no,no,,34.54111099,31.5,,0,,32.09222031,29.5
1504,BellyButtonsClimbingWorkshop,Caucasian,F,27.0,0.0,I,"Raleigh,NC",Austria,"1120(Vienna,Austria)",Austria,"1120(Vienna,Austria)",no,no,893.0,40.22333145,0.0,,'NA',,,
1505,BellyButtonsClimbingWorkshop,Caucasian,F,26.0,0.0,I,"Durham,NC",mexico,,mexico,,no,no,,,,,,,,
1506,BellyButtonsABC11,Caucasian,F,21.0,0.0,I,"Raleigh,NC",usa,27613,usa,27613,no,yes,5514.0,34.65444565,18.5,,31,,31.72999954,22.5
1507,BellyButtonsWildLives,Caucasian,F,46.0,0.0,I,NC,usa,1075,usa,1075,no,yes,,36.39444351,26.0,,0,5814.0,31.92333412,35.0
1508,BellyButtonsWildLives,Caucasian,M,60.0,0.0,I,NC,england,"Whitstable,Kentcounty",usa,10550,yes,no,,36.27000046,27.0,,51,,34.28777695,11.5
1510,BellyButtonsWildLives,Black,F,21.0,1.0,I,NC,,,,,,,,,,,,,,
1511,BellyButtonsWildLives,Caucasian,F,46.0,0.0,I,NC,,,,,,,,,,,,,,
1512,BellyButtonsWildLives,Caucasian,M,55.0,7.0,I,NC,,,,,,,,,,,,,,
1513,BellyButtonsWildLives,Caucasian,M,15.0,0.0,I,NC,,,,,,,,,,,,,,
1514,BellyButtonsWildLives,Caucasian,F,3.0,7.0,o,NC,,,,,,,,,,,,,,
1515,BellyButtonsWildLives,Caucasian,F,51.0,1.0,I,NC,,,,,,,,,,,,,,
1516,BellyButtonsWildLives,Caucasian,M,57.0,0.0,I,NC,usa,2154,usa,2154,yes,yes,5357.0,30.88111115,16.5,,'NA',5025.0,37.11444473,7.5
1517,BellyButtonsWildLives,Caucasian,M,27.0,0.0,I,NC,usa,28773,usa,28773,no,no,5673.0,29.7677784,30.5,,0,7094.0,29.41666603,73.5
1518,BellyButtonsWildLives,Caucasian,F,25.0,0.0,I,GA,,,,,,,,,,,,,,
1519,BellyButtonsWildLives,Caucasian,F,25.0,0.0,I,NC,usa,45247,usa,45247,yes,no,6427.0,32.9366684,11.5,,0,5363.0,32.65000153,48.5
1521,BellyButtonsWildLives,Caucasian,F,10.0,0.0,I,NC,usa,27608,,,yes,yes,6687.0,26.36111069,73.5,,,,,
1524,BellyButtonsWildLives,Caucasian,M,14.0,4.0,I,NC,,,,,,,,,,,,,,
1526,BellyButtonsWildLives,Caucasian,M,6.0,7.0,I,NC,usa&newzealand,Seenotes,,,no,no,,,,,,,,
1527,BellyButtonsWildLives,Caucasian,F,34.0,7.0,I,NC,usa,27804,usa,27804,no,no,,34.10777664,26.5,,0,6427.0,32.9366684,11.5
1530,BellyButtonsWildLives,Caucasian,F,54.0,1.0,I,NC,usa,28358,usa,28358,yes,yes,4959.0,31.81444359,22.5,,0,6919.0,34.00777817,34.5
1531,BellyButtonsWildLives,Caucasian,M,39.0,2.0,I,NC,usa,33176,usa,29127,yes,no,,32.09222031,29.5,,0,5930.0,30.8722229,57.0
1532,BellyButtonsWildLives,Caucasian,F,38.0,0.0,I,NC,,,,,,,,,,,,,,
1533,BellyButtonsWildLives,Black,M,37.0,0.0,o,NC,,,,,,,,,,,,,,
1534,BellyButtonsWildLives,Caucasian,F,42.0,0.0,I,NC,usa,94566,usa,94566,yes,no,6843.0,34.34111023,10.0,,15,5081.0,43.45888901,4.5
1535,BellyButtonsWildLives,Caucasian,M,35.0,7.0,I,NC,usa,37620,usa,37620,no,no,5025.0,37.11444473,7.5,,0,7491.0,30.35666656,31.0
1536,BellyButtonsWildLives,Caucasian,F,26.0,7.0,I,NC,,,,,,,,,,,,,,
1537,BellyButtonsWildLives,Caucasian,M,28.0,0.0,I,NC,,,,,,,,,,,,,,
1539,BellyButtonsWildLives,Caucasian,F,39.0,7.0,I,NC,usa,36201,usa,27505,yes,no,5814.0,31.92333412,35.0,,0,6921.0,32.53222275,13.5
1540,BellyButtonsWildLives,Caucasian,M,30.0,0.0,I,NC,,,,,,,,,,,,,,
1541,BellyButtonsWildLives,Caucasian,F,26.0,0.0,I,NC,,,,,,,,,,,,,,
1542,BellyButtonsWildLives,Caucasian,M,36.0,,I,NC,usa,37343and37221,usa,37343and37221,no,no,,34.98555756,27.0,,'NA',4826.0,29.43888855,6.5
1543,BellyButtonsWildLives,Caucasian,F,34.0,3.0,I,NC,,,,,,,,,,,,,,
1544,BellyButtonsWildLives,Caucasian,F,33.0,1.0,I,NC,usa,80106,usa,80106,yes,no,4464.0,33.80110931,1.0,,0,2521.0,42.24777985,2.0
1545,BellyButtonsWildLives,Caucasian,F,39.0,7.0,I,NC,usa,92054,usa,17847,no,no,5647.0,29.86333275,34.0,,0,5744.0,32.54111099,15.0
1546,BellyButtonsWildLives,Caucasian,M,34.0,3.0,I,NC,usa,13104,usa,13104,yes,no,,35.7788887,27.0,,0,7281.0,29.95444489,37.5
1547,BellyButtonsWildLives,,M,38.0,0.0,I,NC,usa,92014,usa,92014,no,no,7817.0,29.69666672,17.5,,36,,36.61222076,10.0
1548,BellyButtonsWildLives,Caucasian,M,6.0,0.0,I,NC,usa,27607,,,yes,no,,35.5344429,26.0,,,,,
1549,BellyButtonsWildLives,Caucasian,F,37.0,3.0,I,NC,usa,28655,usa,27511,yes,no,6940.0,31.68111038,51.5,,63,,35.53222275,7.5
1550,BellyButtonsWildLives,Caucasian,F,29.0,7.0,I,NC,usa,55127,usa,55127,no,no,2521.0,42.24777985,2.0,,0,,33.1922226,
1551,BellyButtonsWildLives,Caucasian,M,26.0,0.0,I,NC,,,,,,,,,,,,,,
1552,BellyButtonsWildLives,Caucasian,M,25.0,3.0,I,NC,usa,63301,usa,63301,no,no,,36.61222076,10.0,,0,4464.0,33.80110931,1.0
1553,BellyButtonsWildLives,Caucasian,F,50.0,0.0,I,NC,usa,70808,usa,70808,yes,no,,33.1922226,,,11,,37.78333282,4.0
1554,BellyButtonsWildLives,Caucasian,F,18.0,0.0,I,NC,usa,27607,usa,27607,yes,no,6115.0,29.79444504,31.5,,70,,34.54111099,11.0
1555,BellyButtonsWildLives,Caucasian,M,26.0,0.0,I,NC,usa,8057,usa,8057,yes,yes,5104.0,29.57666588,22.0,,42,,36.4766655,32.0
1556,BellyButtonsWildLives,Hispanic,M,34.0,0.0,I,NC,colombia,,colombia,,no,no,,,,,,,,
1557,BellyButtonsWildLives,Caucasian,F,26.0,2.0,I,NC,,,,,,,,,,,,,,
1558,BellyButtonsWildLives,Caucasian,M,26.0,1.0,I,NC,,,,,,,,,,,,,,
1561,BellyButtonsWildLives,Caucasian,M,31.0,2.0,I,NC,usa,28515,usa,28515,no,yes,,34.78333282,8.5,,0,7817.0,29.69666672,17.5
1562,BellyButtonsWildLives,Caucasian,M,39.0,0.0,I,MT,usa,48640,usa,49431,yes,no,5081.0,43.45888901,4.5,,0,6450.0,30.3722229,25.0
1563,BellyButtonsWildLives,Caucasian,F,31.0,0.0,I,MT,usa,36207,usa,36207,yes,no,,24.20111084,9.5,,0,7431.0,30.58333397,61.5
1564,BellyButtonsWildLives,Caucasian,F,36.0,5.0,I,NC,usa,27530,usa,27530,no,yes,5875.0,34.87889099,43.5,,0,6843.0,34.34111023,10.0
1572,BellyButtonsWildLives,Caucasian,F,33.0,0.0,I,NC,Peru,Lima,Peru,Lima,no,no,,37.22333145,14.5,,'NA',,,
1573,BellyButtonsWildLives,Caucasian,M,53.0,0.0,I,NC,,,,,,,,,,,,,,
1574,BellyButtonsWildLives,Caucasian,M,30.0,7.0,I,OK,usa,66210,usa,66210,no,no,7131.0,29.14777756,40.5,,3,,39.67666626,9.5
1576,BellyButtonsWildLives,Caucasian,F,33.0,0.0,I,NC,usa,21045,usa,21075,no,yes,,35.76111221,13.5,,12,,32.71888733,34.5
1577,BellyButtonsWildLives,Caucasian,M,26.0,0.0,I,NC,usa,21228,usa,21228,no,yes,893.0,40.22333145,0.0,,23,,36.27000046,27.0
1581,BellyButtonsWildLives,Asian(American),F,22.0,2.0,I,NC,usa,28056,usa,28056,no,no,5026.0,30.00111198,25.5,,0,6962.0,33.80555725,15.0
1601,BellyButtonsWildLives,Caucasian,F,22.0,2.0,I,NC,usa,29615,usa,27513,yes,no,,,,,1,,32.88999939,45.5
